dataset,alpha,projector_width,seed,final_erank,early_erank_5ep,linear_probe_test_acc,finetune_test_acc
spokenarabicdigits,0.0,64,0,41.69023098910812,30.242494694507904,0.8982954545454546,0.9965909090909091
spokenarabicdigits,0.0,64,1,41.6085055831575,30.119307608500016,0.91875,0.9954545454545455
spokenarabicdigits,0.0,64,2,41.5221275830791,30.675844498794444,0.88125,0.9954545454545455
spokenarabicdigits,0.25,64,0,37.42681770603152,24.690490137921632,0.9454545454545454,0.9960227272727272
spokenarabicdigits,0.25,64,1,37.75380358730789,24.398233232707003,0.9556818181818182,0.9960227272727272
spokenarabicdigits,0.25,64,2,38.84366315298707,25.368493727523916,0.9454545454545454,0.99375
spokenarabicdigits,0.5,64,0,32.664281135057884,21.33413119907797,0.95625,0.9971590909090909
spokenarabicdigits,0.5,64,1,32.72165746758454,21.510798057500462,0.95625,0.9971590909090909
spokenarabicdigits,0.5,64,2,33.26988245274899,21.239058431917734,0.9573863636363636,0.9960227272727272
spokenarabicdigits,0.75,64,0,28.788681768152834,19.486655200484897,0.9619318181818182,0.9965909090909091
spokenarabicdigits,0.75,64,1,29.568086248244683,19.4619696262109,0.9693181818181819,0.9965909090909091
spokenarabicdigits,0.75,64,2,30.119868382920313,19.78989475834979,0.9556818181818182,0.9954545454545455
spokenarabicdigits,1.0,64,0,24.08896274984318,17.666972529279054,0.95625,0.9977272727272727
spokenarabicdigits,1.0,64,1,23.4924288979412,15.90285168250982,0.9534090909090909,0.9977272727272727
spokenarabicdigits,1.0,64,2,23.973164523605014,17.148286652390976,0.9636363636363636,0.9965909090909091
spokenarabicdigits,0.0,512,0,48.877635231853404,40.774267516867084,0.6857954545454545,0.9965909090909091
spokenarabicdigits,0.0,512,1,48.98012386795378,40.89141283244112,0.6698863636363637,0.9965909090909091
spokenarabicdigits,0.0,512,2,48.99661970486606,40.77317656913813,0.615909090909091,0.9948863636363636
spokenarabicdigits,0.25,512,0,48.650119725805126,36.05054075700523,0.9517045454545454,0.9982954545454545
spokenarabicdigits,0.25,512,1,48.572693427983864,36.00625613136013,0.9602272727272727,0.9954545454545455
spokenarabicdigits,0.25,512,2,48.20272008519973,36.46334279192625,0.9539772727272727,0.9965909090909091
spokenarabicdigits,0.5,512,0,43.6987733214441,30.910184386872896,0.9590909090909091,0.9954545454545455
spokenarabicdigits,0.5,512,1,43.69885036719106,30.574774860465613,0.9670454545454545,0.9965909090909091
spokenarabicdigits,0.5,512,2,43.383735489671245,31.95303689998432,0.959659090909091,0.9965909090909091
spokenarabicdigits,0.75,512,0,38.408260707437556,26.848962964802762,0.9642045454545455,0.9960227272727272
spokenarabicdigits,0.75,512,1,37.34954872966683,27.17403494006526,0.9710227272727273,0.9982954545454545
spokenarabicdigits,0.75,512,2,37.82562773767179,27.08302346111214,0.9659090909090909,0.9954545454545455
spokenarabicdigits,1.0,512,0,32.52750824141676,22.712984126849765,0.9744318181818182,0.9977272727272727
spokenarabicdigits,1.0,512,1,32.44983325039383,23.431775503785072,0.9693181818181819,0.9971590909090909
spokenarabicdigits,1.0,512,2,32.480743798026204,23.255575653410308,0.9659090909090909,0.9943181818181818
