dataset,alpha,projector_width,seed,final_erank,early_erank_5ep,linear_probe_test_acc,finetune_test_acc
eigenworms,0.0,64,0,23.244845390319824,9.867515087127686,0.4230769230769231,0.8269230769230769
eigenworms,0.0,64,1,22.344486713409424,8.3202805519104,0.4230769230769231,0.8461538461538461
eigenworms,0.0,64,2,23.104875087738037,9.098646640777588,0.4423076923076923,0.8076923076923077
eigenworms,0.25,64,0,20.940818309783936,9.35011887550354,0.4423076923076923,0.8653846153846154
eigenworms,0.25,64,1,20.043326377868652,8.64710807800293,0.4230769230769231,0.8461538461538461
eigenworms,0.25,64,2,21.153908252716064,8.965955257415771,0.4230769230769231,0.8461538461538461
eigenworms,0.5,64,0,19.456627368927002,8.893494129180908,0.4230769230769231,0.8269230769230769
eigenworms,0.5,64,1,18.850014209747314,8.22284483909607,0.4230769230769231,0.8269230769230769
eigenworms,0.5,64,2,19.264219284057617,8.64112401008606,0.4230769230769231,0.8461538461538461
eigenworms,0.75,64,0,17.791587829589844,8.711413621902466,0.46153846153846156,0.7692307692307693
eigenworms,0.75,64,1,16.89568853378296,8.707213640213013,0.4230769230769231,0.8269230769230769
eigenworms,0.75,64,2,18.215704441070557,8.461032152175903,0.4230769230769231,0.8846153846153846
eigenworms,1.0,64,0,16.16241693496704,8.1978098154068,0.46153846153846156,0.7307692307692307
eigenworms,1.0,64,1,15.752797365188599,8.685806035995483,0.4230769230769231,0.8653846153846154
eigenworms,1.0,64,2,16.456772327423096,8.212743043899536,0.40384615384615385,0.8461538461538461
eigenworms,0.0,512,0,36.50516891479492,16.275628089904785,0.4230769230769231,0.7884615384615384
eigenworms,0.0,512,1,37.542052268981934,15.48704981803894,0.4230769230769231,0.8461538461538461
eigenworms,0.0,512,2,37.256165504455566,15.7425856590271,0.4230769230769231,0.7692307692307693
eigenworms,0.25,512,0,33.82510948181152,14.25666332244873,0.4230769230769231,0.8269230769230769
eigenworms,0.25,512,1,34.56811809539795,14.417915105819702,0.4230769230769231,0.8461538461538461
eigenworms,0.25,512,2,34.46867370605469,15.102781295776367,0.4230769230769231,0.7884615384615384
eigenworms,0.5,512,0,31.419296264648438,12.929850816726685,0.4807692307692308,0.7884615384615384
eigenworms,0.5,512,1,31.950127124786377,13.191202163696289,0.4230769230769231,0.8461538461538461
eigenworms,0.5,512,2,31.948122024536133,14.225074768066406,0.4230769230769231,0.8076923076923077
eigenworms,0.75,512,0,29.05756902694702,12.185506105422974,0.46153846153846156,0.8269230769230769
eigenworms,0.75,512,1,29.87738800048828,12.648573398590088,0.4230769230769231,0.8461538461538461
eigenworms,0.75,512,2,29.10628890991211,13.054230690002441,0.4230769230769231,0.8076923076923077
eigenworms,1.0,512,0,26.143964290618896,11.00886845588684,0.4807692307692308,0.8076923076923077
eigenworms,1.0,512,1,26.76047945022583,11.529005527496338,0.4230769230769231,0.8653846153846154
eigenworms,1.0,512,2,26.73854351043701,12.227848768234253,0.4230769230769231,0.8076923076923077
