dataset,alpha,projector_width,seed,final_erank,early_erank_5ep,linear_probe_test_acc,finetune_test_acc
har,0.0,64,0,41.76756255626678,30.87398045063019,0.8310679611650486,0.9063106796116505
har,0.0,64,1,41.88551769256592,30.871643793582916,0.8184466019417476,0.9558252427184466
har,0.0,64,2,41.739076900482175,31.04456741809845,0.8310679611650486,0.9495145631067962
har,0.25,64,0,39.521452927589415,26.164131236076354,0.8713592233009708,0.9504854368932039
har,0.25,64,1,39.84099290370941,26.428949737548827,0.8718446601941747,0.9048543689320389
har,0.25,64,2,39.81825625896454,26.557127821445466,0.8723300970873786,0.9597087378640776
har,0.5,64,0,35.53439652919769,23.868394589424135,0.8898058252427185,0.9461165048543689
har,0.5,64,1,35.106134581565854,24.20396922826767,0.8849514563106796,0.9383495145631068
har,0.5,64,2,35.22091131210327,24.271599531173706,0.8878640776699029,0.9592233009708738
har,0.75,64,0,31.47868791818619,21.296633291244508,0.8771844660194175,0.9572815533980582
har,0.75,64,1,31.892516171932222,21.979479229450227,0.8936893203883495,0.9373786407766991
har,0.75,64,2,31.291722857952116,20.989197814464568,0.8868932038834951,0.9587378640776699
har,1.0,64,0,28.073544871807098,18.38550696372986,0.8800970873786408,0.9616504854368932
har,1.0,64,1,28.36180897951126,18.582618045806885,0.8849514563106796,0.9611650485436893
har,1.0,64,2,28.02609543800354,19.356172132492066,0.879126213592233,0.954368932038835
har,0.0,512,0,50.337457060813904,41.12201552391052,0.8121359223300971,0.9519417475728156
har,0.0,512,1,49.97108986377716,41.28082845211029,0.8058252427184466,0.9529126213592233
har,0.0,512,2,49.92345335483551,41.292167162895204,0.7868932038834952,0.9407766990291262
har,0.25,512,0,48.9341920375824,37.306606435775755,0.8961165048543689,0.9524271844660194
har,0.25,512,1,48.74693069458008,37.1481009721756,0.8674757281553398,0.9305825242718446
har,0.25,512,2,48.66350665092468,37.83749969005585,0.8888349514563106,0.9558252427184466
har,0.5,512,0,44.988594841957095,33.40040637254715,0.9004854368932039,0.9067961165048544
har,0.5,512,1,44.95688610076904,33.86775108575821,0.8961165048543689,0.9509708737864078
har,0.5,512,2,44.81331040859222,33.786207747459414,0.8951456310679612,0.9325242718446602
har,0.75,512,0,40.43656778335571,30.31185714006424,0.9009708737864077,0.954368932038835
har,0.75,512,1,40.548330307006836,30.09790221452713,0.891747572815534,0.9509708737864078
har,0.75,512,2,40.45255792140961,30.203185164928435,0.8951456310679612,0.95
har,1.0,512,0,36.35268583297729,26.91958305835724,0.8990291262135922,0.9092233009708738
har,1.0,512,1,36.297993516922,26.702602446079254,0.8932038834951457,0.9601941747572815
har,1.0,512,2,35.71546012163162,26.646530425548555,0.8839805825242718,0.9606796116504854
