dataset,alpha,projector_width,seed,final_erank,early_erank_5ep,linear_probe_test_acc,finetune_test_acc
forda,0.0,64,0,38.686108689559134,22.426920288487484,0.8416243654822335,0.8710659898477158
forda,0.0,64,1,38.49085491581967,23.012700607902126,0.8040609137055837,0.917766497461929
forda,0.0,64,2,38.71901135695608,22.986280867927952,0.8081218274111676,0.9360406091370559
forda,0.25,64,0,29.607496035726445,17.05698168905158,0.8944162436548223,0.9390862944162437
forda,0.25,64,1,29.389894109023246,16.498779723518773,0.8934010152284264,0.934010152284264
forda,0.25,64,2,30.04719500792654,17.21547776774356,0.8934010152284264,0.8923857868020305
forda,0.5,64,0,24.059002650411504,13.137297743245176,0.8751269035532995,0.9390862944162437
forda,0.5,64,1,23.40082607771221,13.555532869539762,0.8822335025380711,0.932994923857868
forda,0.5,64,2,22.97090620743601,12.96259049365395,0.8954314720812183,0.9076142131979695
forda,0.75,64,0,18.517329843420733,10.991880893707275,0.8558375634517766,0.9238578680203046
forda,0.75,64,1,17.70386542771992,10.473636702487344,0.8690355329949239,0.9258883248730965
forda,0.75,64,2,18.31812454524793,10.749577409342715,0.8588832487309644,0.8751269035532995
forda,1.0,64,0,12.715371960087827,7.961725147146928,0.8416243654822335,0.9431472081218274
forda,1.0,64,1,12.368835411573711,7.85212893235056,0.8517766497461929,0.9350253807106599
forda,1.0,64,2,12.773944892381367,8.086567665401258,0.848730964467005,0.9055837563451776
forda,0.0,512,0,46.8595098696257,31.636454406537506,0.8203045685279188,0.9218274111675127
forda,0.0,512,1,47.24429873416298,31.706446095516807,0.783756345177665,0.9441624365482234
forda,0.0,512,2,47.17320929075542,31.146172222338226,0.8091370558375635,0.932994923857868
forda,0.25,512,0,37.98502666071842,23.217654353693913,0.9005076142131979,0.8934010152284264
forda,0.25,512,1,37.86129570007324,23.4137541369388,0.9045685279187817,0.9238578680203046
forda,0.25,512,2,37.76481382470382,23.78044349268863,0.8974619289340101,0.9005076142131979
forda,0.5,512,0,29.121983402653743,16.942502624110173,0.883248730964467,0.8984771573604061
forda,0.5,512,1,29.41354234595048,18.379808752160322,0.884263959390863,0.9390862944162437
forda,0.5,512,2,29.543367762314645,18.18880352221037,0.8984771573604061,0.9187817258883249
forda,0.75,512,0,22.068641562210885,12.128398782328555,0.8690355329949239,0.899492385786802
forda,0.75,512,1,21.988910976209137,12.305767824775295,0.8639593908629442,0.9350253807106599
forda,0.75,512,2,22.115178710535954,12.25656845695094,0.8954314720812183,0.9269035532994924
forda,1.0,512,0,15.029298142382974,8.963428497314453,0.8761421319796955,0.9096446700507614
forda,1.0,512,1,15.59259329344097,9.414186414919401,0.8730964467005076,0.9451776649746193
forda,1.0,512,2,16.11638381606654,10.000808753465352,0.8812182741116751,0.9035532994923858
